drugName,condition,review,rating,usefulCount
Ethinyl estradiol / etonogestrel,Birth Control,"""It has been effective in preventing pregnancy. However, it makes me feel like shit. I am nauseous all the time, especially the first couple of days after putting it in. I have heartburn and fatigue that has only started since I have been on the nuvaring. I got pregnant on the pill and that&#039;s why I switched, but I feel so bad all the time because of it. I haven&#039;t stopped taking it yet, I&#039;m on month four because I keep hoping it will get better, but it doesn&#039;t. It has been effective in preventing pregnancy - feeling so crappy has urged me to take a lot of pregnancy tests, and it&#039;s so convenient to only worry about it twice a month (put it in, take it out). I wish it didn&#039;t make me feel so bad, because I would continue to use it.""",5.0,4
Dextromethorphan,Cough,"""Took Robitussin dm cough and chest congestion dm for a persistant cough. Took 2 doses and my stomach is twisted and I have bad diarrhea. Took my cough down but I&#039;m so sick to my stomach. Need to stop taking it to go back to work tomorrow.""",5.0,4
Topamax,Migraine Prevention,"""It lessened the frequency of my migraines. But the side effects are not worth the relief it provided. It turned me into a zombie. I didn&#039;t care about anything. I couldn&#039;t even taste my food! And the worst part was it robbed me of my ability to be alarmed by the growing severity of my depression and other serious symptoms. After three months, I was GLAD to detox. 4 days clean and I can almost taste sugar again. Can&#039;t wait til the brain fog lifts.""",5.0,34
Phentermine / topiramate,Weight Loss,"""I am 7 years post gastric bypass had lost 90 lbs, had a baby and gained back 40lbs mostly because I was hungry all of the time.  I should have talked to my surgeon sooner.  My daughter is now 4 and I just talked to him last week.  He said it is common and in his experience qsymia works well because it stops the hunger and allows the surgical tool to work again.  Okay.. worth a shot, even at the cost. I was 194 last Tuesday. It is Monday and I am 188. I&#039;d say it works pretty damn well. I have not been hungry at all  I have had some strange side effects. Day 2 was the worst with some confusion and fatigue but it passed soon enough. Today I have some tingling in my face that I am really hoping is related to waxing and not the drug.""",8.0,39
Vasotec,Left Ventricular Dysfunction,"""This medication worked great for me as far as keeping my BP in check while I recovered from heart failure.  I did have some mild coughing and dizziness if I got up too fast, but nothing I couldn&#039;t handle.  After being on this for 1 1/2 years I developed angioedema - swelling of lip and face.  Was immediately taken off the meds, told to take some Benadryl.  The symptoms went away and I was put on a different medication.""",9.0,7
Tolterodine,Urinary Incontinence,"""Did nothing to lessen or correct the condition.  Also, very expensive!""",1.0,32
NuvaRing,Birth Control,"""I was on NuvaRing for 7 months. At first all went well, but after awhile I started losing interest in sex and became very moody.  Within a month of stopping NuvaRing, I was back to normal. """,3.0,22
Hydrochlorothiazide,High Blood Pressure,"""This medication causes me to sweat profusely. It was so bad water was dripping off my hair and I was sweating all over my body. The sweating makes me miserable and I believe dehydrated When I tell the dr they just ignore me. It does not cause me to go to the bathroom more often but I&#039;m probably sweating it off  I was taking 25 mg. I also have type 2 diabetes. I saw diabetics shouldn&#039;t take this. I had taken it for years before  I was sweating then too.""",5.0,35
Dabigatran,Prevention of Thromboembolism in Atrial Fibrillation,"""I&#039;ve been taking Pradaxa for about 2 months. Cardiology lowered the dose to 75 twice a day.  I have noticed no side effects at all.  I have less bruising when bumping myself also.  I hope this continues as bruising effect from warfarin was very unsightly.""",9.0,1
Parnate,Depression,"""I too, had tried all the tricyclic&#039;s, SSRI&#039;s and SNRI&#039;s along with helper drugs for anxiety and insomnia. I went on Parnate 4 years ago and it&#039;s the ONLY drug that has consistently worked at keeping my depression in check. After a depressive episode that almost killed me, the decision was made to try it. There is no &quot;poop out&quot;. The MAOI diet everyone one freaks out over is NOT that bad - just be mindful of what you eat. Following instructions for safe use of this drug is nothing compared to the relief of clinical depression!""",10.0,24
