drugName,condition,n_reviews,avg_rating,sentiment_score,total_useful
Provigil,ADHD,5,9.2,0.9719,534
Ritalin LA,ADHD,10,9.2,0.9519,168
Desoxyn,ADHD,19,9.63,0.9475,1550
Modafinil,ADHD,17,8.82,0.932,871
Omega-3 polyunsaturated fatty acids,ADHD,6,8.17,0.9265,329
Cylert,ADHD,7,9.57,0.8956,73
Pemoline,ADHD,7,9.57,0.8956,73
Methamphetamine,ADHD,28,8.71,0.8894,1644
Nuvigil,ADHD,7,8.29,0.8866,282
Dextroamphetamine,ADHD,94,8.71,0.8789,3132
Wellbutrin XL,ADHD,11,8.91,0.8781,822
Dexedrine,ADHD,57,8.42,0.8695,2624
Adderall,ADHD,227,8.22,0.8682,9989
Methylin,ADHD,11,8.18,0.8682,240
Adderall XR,ADHD,139,8.27,0.863,4087
Daytrana,ADHD,61,8.26,0.8558,1469
Methylin ER,ADHD,8,8.5,0.8535,152
Amphetamine / dextroamphetamine,ADHD,456,7.97,0.8486,14579
Clonidine,ADHD,36,8.25,0.8445,2044
Bupropion,ADHD,72,7.5,0.8357,5053
Armodafinil,ADHD,13,8.23,0.8353,350
Lisdexamfetamine,ADHD,548,7.7,0.8265,17437
Vyvanse,ADHD,540,7.68,0.8255,17431
Focalin XR,ADHD,58,7.84,0.8107,1970
Methylphenidate,ADHD,513,7.38,0.8016,16170
Ritalin,ADHD,76,7.45,0.7929,2718
Concerta,ADHD,257,7.13,0.7865,10084
Zenzedi,ADHD,8,8.5,0.7857,96
Dexmethylphenidate,ADHD,120,7.44,0.774,4020
Kapvay,ADHD,17,7.35,0.7705,1316
Aptensio XR,ADHD,6,6.83,0.7613,38
Dyanavel XR,ADHD,10,6.0,0.7521,94
Metadate CD,ADHD,34,7.12,0.7466,1023
Focalin,ADHD,53,6.89,0.7219,2029
Amphetamine,ADHD,54,6.52,0.7064,504
Evekeo,ADHD,20,7.3,0.7056,203
Adzenys XR-ODT,ADHD,21,5.95,0.6988,180
Intuniv,ADHD,107,6.18,0.6372,7164
Guanfacine,ADHD,156,5.74,0.6314,7870
Quillivant XR,ADHD,14,5.36,0.6167,114
Mydayis,ADHD,15,4.53,0.6027,150
Strattera,ADHD,277,5.43,0.5755,9817
Atomoxetine,ADHD,285,5.44,0.5733,9829
Aviane,Abnormal Uterine Bleeding,11,7.64,0.7784,47
Ethinyl estradiol / norgestrel,Abnormal Uterine Bleeding,22,5.86,0.6297,72
Microgestin Fe 1 / 20,Abnormal Uterine Bleeding,5,4.6,0.6215,21
Ortho Tri-Cyclen,Abnormal Uterine Bleeding,8,7.12,0.6186,43
Ortho Micronor,Abnormal Uterine Bleeding,9,6.78,0.6064,264
Loestrin 24 Fe,Abnormal Uterine Bleeding,48,6.21,0.5982,561
Junel Fe 1 / 20,Abnormal Uterine Bleeding,9,5.44,0.5888,86
Previfem,Abnormal Uterine Bleeding,7,6.29,0.5861,3
Ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding,113,5.58,0.5767,798
